userid,churn,age,rent_or_own,trivia_played,trivia_shared_results,trivia_view_unlocked,trivia_view_results,cards_share,cards_viewed,cards_helpful,cards_not_helpful,cards_clicked,has_used_mobile,has_used_web,used_android,used_ios,more_than_one_mobile_device,payfreq,loan_pending,withdrawn_application,paid_off_loan,did_not_accept_funding,zodiac_sign,un_linked_account,re_linked_account,cash_back_engagement,has_referred
0,1,22.0,na,0,0,0,0,0,48,0,0,11,1,1,0,1,3,Weekly,0,0,0,0,Taurus,0,0,0.5700000000000001,0
7,1,25.0,R,0,0,5,0,0,5,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Gemini,0,0,0.06999999999999999,0
8,1,32.0,na,0,0,0,0,0,49,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,0.6,1
18,1,26.0,na,0,0,169,0,0,184,0,0,10,1,1,0,1,2,na,0,0,0,0,Leo,0,0,1.77,1
19,1,28.0,R,0,0,11,0,0,65,0,0,0,1,0,0,1,0,na,0,0,0,0,Cancer,0,0,1.23,1
20,1,27.0,R,57,2,46,57,0,295,0,0,57,1,1,0,1,0,Semi-Monthly,0,0,0,0,Libra,0,0,1.9,0
25,1,26.0,na,0,0,1,0,0,24,0,0,0,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,0.4,1
26,1,28.0,O,5,2,0,3,0,190,0,0,12,1,0,1,0,0,Semi-Monthly,0,0,0,0,Aquarius,0,0,1.97,0
28,1,41.0,na,0,0,15,0,0,32,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Cancer,1,0,0.43,0
30,1,22.0,na,0,0,2,0,0,4,0,0,0,1,0,0,1,0,na,0,0,0,0,Virgo,0,0,0.0,0
34,1,54.0,R,60,13,62,43,0,148,0,0,51,1,1,1,0,0,na,0,0,0,0,Scorpio,0,0,1.33,1
35,1,22.0,R,0,0,0,0,0,8,0,0,0,1,1,1,0,2,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.0,0
36,1,39.0,na,2,0,39,2,0,64,0,0,6,1,1,0,1,0,na,0,0,0,0,Sagittarius,0,0,0.87,1
37,1,32.0,R,0,0,0,0,0,115,0,0,5,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,1.17,0
39,1,66.0,R,0,0,0,0,1,107,0,0,27,1,1,0,1,0,Monthly,0,0,0,0,Libra,0,0,1.7,0
41,1,45.0,na,0,0,0,0,0,64,0,0,12,1,1,0,1,0,na,0,0,0,0,Libra,0,0,1.47,0
42,1,29.0,R,0,0,0,0,0,41,0,0,4,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,0.63,0
46,1,33.0,R,32,1,90,32,0,295,0,0,18,1,1,1,0,0,Weekly,0,0,0,0,Aquarius,0,0,1.4300000000000002,0
47,1,42.0,R,0,0,0,0,0,100,0,0,8,1,0,0,1,2,Monthly,0,0,0,1,Cancer,0,0,0.87,1
49,1,35.0,R,0,0,0,0,0,202,0,0,35,1,1,1,0,0,Semi-Monthly,0,0,0,0,Sagittarius,1,0,1.87,0
50,1,29.0,na,0,0,0,0,0,32,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Taurus,0,0,0.73,0
58,1,23.0,R,14,0,22,14,0,98,0,0,5,1,0,0,1,0,na,0,0,0,0,Aries,0,0,0.87,0
61,1,26.0,R,0,0,0,0,0,30,0,0,4,1,1,1,0,0,Weekly,0,0,0,0,Scorpio,0,0,0.73,0
64,1,27.0,R,0,0,0,0,0,82,1,0,3,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,1.47,0
66,1,23.0,na,0,0,67,0,0,142,0,0,5,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,0.83,1
70,1,27.0,na,1,0,24,1,0,36,0,0,7,1,0,1,0,0,Weekly,0,0,0,0,na,0,0,0.5,0
72,1,30.0,R,0,0,0,0,0,154,0,0,4,1,1,1,1,2,Bi-Weekly,0,0,0,0,Pisces,1,0,1.8,0
73,1,40.0,R,52,2,92,50,0,238,0,0,23,1,1,0,1,2,Bi-Weekly,0,0,0,0,Taurus,0,0,2.17,1
75,1,53.0,na,0,0,20,0,0,116,0,0,15,1,1,0,1,0,Semi-Monthly,0,0,0,0,Taurus,0,0,1.2,0
86,1,27.0,R,0,0,0,0,0,25,0,0,5,1,1,1,0,0,Monthly,0,0,0,0,Cancer,0,0,0.4,1
