Id,longitude,latitude,median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
15817,-120.85,37.57,27,819,157,451,150,34934,193800
6236,-117.74,34.06,48,2438,599,1508,548,28983,129200
19262,-118.11,33.92,32,1016,190,729,177,43000,151300
19743,-118.12,34.15,35,1760,447,984,384,34167,198200
7272,-120.63,37.41,27,2083,444,1462,479,26439,69100
1155,-121.43,38.54,42,3321,688,1346,658,24618,101300
19827,-122.28,37.53,25,3710,1015,2068,958,35445,286700
7801,-116.99,34.88,23,6060,1165,2920,1072,31528,69000
9867,-117.28,34.17,26,3106,603,1396,576,31736,122200
10927,-122.06,37.91,15,5393,1422,2133,1288,41612,232800
11314,-118.36,33.83,35,1378,247,645,217,59143,343400
6183,-120.14,36.04,27,2533,518,1371,461,29708,60900
17863,-120.47,34.63,23,2441,463,1392,434,37917,142200
7832,-122.43,37.61,21,10252,2595,4790,2428,41692,344500
7530,-117.95,34.09,18,1179,324,1296,331,28510,140600
9882,-121.27,37.96,43,948,221,749,208,19620,52700
18460,-117.13,32.72,9,2436,720,1780,653,18299,137500
9652,-118.31,34.19,27,4713,1169,2372,1077,37015,287900
1894,-117.93,33.86,35,1216,225,893,228,40288,184000
14186,-118.26,34.08,46,945,250,910,252,35039,187500
9830,-121.89,37.67,20,2948,471,1181,474,60603,247900
20551,-122.64,38.71,20,531,126,231,96,26250,89600
20401,-117.47,33.98,8,12106,1913,5810,1717,49886,158100
2272,-118.32,34.04,48,1184,328,953,311,23525,156300
1780,-117.11,32.73,27,3160,627,1628,612,38864,132600
17645,-117.37,33.95,32,2215,351,771,311,43541,142600
3530,-120.46,34.74,15,2185,386,827,336,53765,223100
10448,-121.26,37.96,40,535,105,335,102,25234,62800
2749,-117.28,34.11,39,1573,418,1258,359,14896,69500
6228,-121.79,37.34,20,2018,328,1196,323,49318,262400
1327,-122.43,37.63,34,4135,687,2154,742,49732,342300
18506,-122.11,37.7,23,1689,461,828,443,21551,161400
5087,-121.53,38.56,39,2438,483,1103,472,29375,86600
15579,-118.04,33.74,26,2532,421,1274,441,53559,235800
11458,-120.97,37.66,19,1974,393,799,377,31286,137500
17398,-121.86,37.41,16,2938,589,1718,568,55073,178900
290,-118.15,34.07,52,1983,344,887,331,32875,234400
11083,-118.56,34.42,2,966,270,233,169,19667,450000
12163,-118.44,34.15,37,1335,286,539,279,32813,301700
7027,-118.09,33.79,36,4210,657,1911,631,58491,247300
4883,-117.44,33.88,5,2589,351,1109,360,68089,334100
6800,-117.21,32.81,33,4773,873,1954,845,43862,184800
17555,-118.34,33.95,33,1923,459,1412,361,54359,194100
10567,-117.96,34.03,35,1623,331,1462,312,39803,152600
2151,-118.42,33.75,22,17591,2604,6897,2492,82830,500001
7756,-117.21,32.85,26,2012,315,872,335,54067,277500
10617,-118.6,34.13,20,14291,1934,5452,1875,91232,472000
18950,-122.41,37.75,52,2164,606,2034,513,20325,178100
9983,-119.99,38.88,17,2807,529,675,251,27456,107800
20475,-118.37,34.19,41,2924,867,2751,836,21000,171600
214,-122.01,37.4,24,1297,297,441,282,31439,47500
