"","Rk","Year","Tm","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","current"
"1",1,2016,"Arizona Diamondbacks","NL West",162,69,93,0,0.426,0.424,"4th of 5","22.0","",752,890,"2,036,216",26.7,26.4,50,29,"J.Segura (5.7)","C.Hale (69-93)","Arizona Diamondbacks"
"2",2,2015,"Arizona Diamondbacks","NL West",162,79,83,0,0.488,0.504,"3rd of 5","13.0","",720,713,"2,080,145",26.6,27.1,50,27,"P.Goldschmidt (8.8)","C.Hale (79-83)","Arizona Diamondbacks"
"3",3,2014,"Arizona Diamondbacks","NL West",162,64,98,0,0.395,0.415,"5th of 5","30.0","",615,742,"2,073,730",27.6,28,52,25,"P.Goldschmidt (4.5)","K.Gibson (63-96) and A.Trammell (1-2)","Arizona Diamondbacks"
"4",4,2013,"Arizona Diamondbacks","NL West",162,81,81,0,0.5,0.493,"2nd of 5","11.0","",685,695,"2,134,895",28.1,27.6,44,23,"P.Goldschmidt (7.1)","K.Gibson (81-81)","Arizona Diamondbacks"
"5",5,2012,"Arizona Diamondbacks","NL West",162,81,81,0,0.5,0.53,"3rd of 5","13.0","",734,688,"2,177,617",28.3,27.4,48,23,"A.Hill (5.0)","K.Gibson (81-81)","Arizona Diamondbacks"
"6",6,2011,"Arizona Diamondbacks","NL West",162,94,68,0,0.58,0.545,"1st of 5","--","Lost LDS (3-2)",731,662,"2,105,432",28.2,27.4,51,25,"J.Upton (6.1)","K.Gibson (94-68)","Arizona Diamondbacks"
"7",7,2010,"Arizona Diamondbacks","NL West",162,65,97,0,0.401,0.428,"5th of 5","27.0","",713,836,"2,056,697",26.8,27.9,48,28,"C.Young (5.4)","A.Hinch (31-48) and K.Gibson (34-49)","Arizona Diamondbacks"
"8",8,2009,"Arizona Diamondbacks","NL West",162,70,92,0,0.432,0.462,"5th of 5","25.0","",720,782,"2,128,765",26.5,27.7,45,24,"D.Haren (7.1)","B.Melvin (12-17) and A.Hinch (58-75)","Arizona Diamondbacks"
"9",9,2008,"Arizona Diamondbacks","NL West",162,82,80,0,0.506,0.509,"2nd of 5","2.0","",720,706,"2,509,924",26.7,29.4,41,20,"D.Haren (6.6)","B.Melvin (82-80)","Arizona Diamondbacks"
"10",10,2007,"Arizona Diamondbacks","NL West",162,90,72,0,0.556,0.487,"1st of 5","--","Lost NLCS (4-0)",712,732,"2,325,249",26.6,28.2,47,26,"B.Webb (5.9)","B.Melvin (90-72)","Arizona Diamondbacks"
"11",11,2006,"Arizona Diamondbacks","NL West",162,76,86,0,0.469,0.491,"4th of 5","12.0","",773,788,"2,091,685",29.6,28.8,45,25,"B.Webb (7.0)","B.Melvin (76-86)","Arizona Diamondbacks"
"12",12,2005,"Arizona Diamondbacks","NL West",162,77,85,0,0.475,0.406,"2nd of 5","5.0","",696,856,"2,059,424",30.3,27.4,43,25,"C.Counsell (5.5)","B.Melvin (77-85)","Arizona Diamondbacks"
"13",13,2004,"Arizona Diamondbacks","NL West",162,51,111,0,0.315,0.333,"5th of 5","42.0","",615,899,"2,519,560",28.9,29.3,52,25,"R.Johnson (8.3)","B.Brenly (29-50) and A.Pedrique (22-61)","Arizona Diamondbacks"
"14",14,2003,"Arizona Diamondbacks","NL West",162,84,78,0,0.519,0.521,"3rd of 5","16.5","",717,685,"2,805,542",30.6,29.2,43,22,"B.Webb (5.9)","B.Brenly (84-78)","Arizona Diamondbacks"
"15",15,2002,"Arizona Diamondbacks","NL West",162,98,64,0,0.605,0.588,"1st of 5","--","Lost LDS (3-0)",819,674,"3,198,977",31.7,31.7,42,20,"R.Johnson (10.7)","B.Brenly (98-64)","Arizona Diamondbacks"
"16",16,2001,"Arizona Diamondbacks","NL West",162,92,70,0,0.568,0.586,"1st of 5","--","Won WS (4-3)",818,677,"2,736,451",31.9,30.9,47,22,"R.Johnson (9.4)","B.Brenly (92-70)","Arizona Diamondbacks"
"17",17,2000,"Arizona Diamondbacks","NL West",162,85,77,0,0.525,0.522,"3rd of 5","12.0","",792,754,"2,942,251",30.8,31.6,41,17,"R.Johnson (8.1)","B.Showalter (85-77)","Arizona Diamondbacks"
"18",18,1999,"Arizona Diamondbacks","NL West",162,100,62,0,0.617,0.632,"1st of 5","--","Lost LDS (3-1)",908,676,"3,019,654",30,30.6,43,20,"R.Johnson (8.8)","B.Showalter (100-62)","Arizona Diamondbacks"
"19",19,1998,"Arizona Diamondbacks","NL West",162,65,97,0,0.401,0.41,"5th of 5","33.0","",665,812,"3,610,290",27.8,27.4,46,25,"O.Daal (4.1)","B.Showalter (65-97)","Arizona Diamondbacks"
