macd,rsi,wr,c_mov5,deltamov5,turnover,signal
0.01,69.99,-16.638,0.005,0.001,79318.94999999998,1
0.01,63.204,-33.276,-0.003,-0.012,101334.23000000001,1
0.009,63.204,-33.276,-0.002,-0.008,9181.77,1
0.009,63.204,-33.276,-0.001,-0.012,25552.8,1
0.008,56.314,-60.083,-0.007,-0.014,72921.29000000001,1
0.006,50.452,-100.0,-0.011,-0.016,15378.48,1
0.005,55.447,-75.065,-0.001,0.002,13860.3,1
0.004,50.017,-100.0,-0.007,-0.005,10100.0,1
0.003,54.785,-75.065,0.002,0.003,19720.370000000003,1
0.003,54.785,-75.065,0.001,0.009,158488.36000000002,1
0.004,59.332,-49.87,0.007,0.019,55736.049999999996,1
0.003,53.535,-75.065,-0.002,-0.0,1872.2,1
0.004,61.578,-0.0,0.012,0.019,85355.53,1
0.007,67.589,-0.0,0.021,0.019,202554.04000000004,1
0.011,74.146,-0.0,0.033,0.032,1177537.7300000002,1
0.015,75.908,-9.969,0.028,0.021,1044116.8300000001,1
0.018,77.539,-0.0,0.025,0.027,545367.04,1
0.022,79.065,-8.391,0.023,0.012,634501.23,1
0.023,73.673,-16.696,0.009,-0.011,421860.58,1
0.024,68.633,-25.0,-0.0,-0.033,168974.06,1
0.024,70.785,-16.696,0.006,-0.022,271563.1,1
0.025,70.785,-18.208,0.004,-0.021,172283.31,1
0.023,61.022,-36.415,-0.01,-0.033,28584.36,1
0.021,56.823,-45.472,-0.013,-0.022,267564.96,1
0.019,56.823,-55.594,-0.009,-0.008,116156.54,1
0.017,56.823,-62.516,-0.006,-0.012,108011.22999999998,1
0.016,60.24,-66.667,0.003,-0.002,150840.06999999998,1
0.015,60.24,-66.667,0.002,0.012,26863.229999999996,1
0.013,50.856,-100.0,-0.012,0.001,94322.45,1
0.012,54.677,-83.247,-0.001,0.007,31764.96,1
0.011,58.146,-50.0,0.005,0.011,182348.13999999998,1
0.011,58.146,-50.0,0.004,0.001,12318.769999999999,1
0.01,53.406,-74.87,-0.004,-0.006,5888.01,1
0.009,53.406,-66.552,-0.003,0.009,88412.04000000001,1
0.01,63.729,-0.0,0.018,0.019,414829.82,1
0.011,63.729,-19.917,0.012,0.006,769133.67,1
0.012,63.729,-19.917,0.008,0.004,28227.15,1
0.012,63.729,-19.917,0.005,0.009,15.45,1
0.011,57.989,-39.834,-0.003,-0.0,10383.0,1
0.012,61.704,-19.917,0.004,-0.013,201499.21999999997,1
0.011,56.339,-39.834,-0.003,-0.015,5145.14,1
0.01,56.339,-39.834,-0.002,-0.01,123874.0,1
0.009,56.339,-49.87,-0.002,-0.007,80847.20999999999,1
0.009,60.616,-24.935,0.005,0.008,123229.03,1
0.009,60.616,-24.935,0.004,-0.001,241869.14,1
0.01,64.634,-0.0,0.009,0.012,158653.8,1
0.01,58.235,-33.218,-0.001,0.002,47848.79000000001,1
0.009,58.235,-33.218,-0.0,0.001,4528.4,1
0.009,58.235,-33.218,-0.0,-0.006,27938.75,1
0.008,51.828,-66.436,-0.007,-0.01,5618.0199999999995,1
0.007,51.828,-66.436,-0.004,-0.013,56.54,1
0.007,57.279,-50.0,0.003,0.004,46194.280000000006,1
0.005,46.007,-100.0,-0.011,-0.01,167345.26,1
0.005,55.449,-33.218,0.006,0.006,55240.28,1
0.005,55.449,-33.218,0.004,0.01,123.4,1
0.004,50.368,-66.436,-0.004,0.001,309948.2300000001,1
0.004,50.368,-66.436,-0.003,-0.006,69163.84,1
0.002,45.483,-100.0,-0.008,0.002,15992.28,1
0.001,45.483,-100.0,-0.005,-0.011,69782.0,1
0.001,50.995,-49.741,0.003,-0.001,110945.08000000002,1
0.0,45.988,-100.0,-0.005,-0.001,130679.98000000001,1
-0.0,45.988,-100.0,-0.003,-0.001,149174.21,1
-0.002,41.33,-100.0,-0.008,-0.0,389504.0,1
-0.001,51.882,-33.218,0.007,0.013,26522.4,1
0.0,56.11,-0.0,0.011,0.008,226087.77000000002,1
0.003,63.125,-0.0,0.02,0.025,276726.55,1
0.005,63.125,-0.0,0.014,0.017,110565.83999999998,1
0.005,57.745,-20.124,0.003,0.011,140268.68,1
0.006,57.745,-20.124,0.002,-0.006,67080.0,1
0.006,57.745,-20.124,0.001,-0.01,23821.469999999998,1
0.009,70.295,-0.0,0.026,0.006,488132.75,1
0.012,72.511,-9.969,0.024,0.011,808011.6699999999,1
0.015,72.511,-9.969,0.016,0.013,363128.29000000004,1
0.015,61.864,-30.01,-0.002,-0.004,168434.28999999995,1
0.017,69.165,-0.0,0.018,0.017,498735.33,1
0.02,72.88,-8.312,0.025,-0.002,583845.05,1
0.022,68.44,-19.958,0.01,-0.014,336269.76,1
0.022,64.227,-33.256,0.0,-0.016,103317.62999999998,1
0.023,68.415,-11.085,0.013,0.015,386728.59,1
0.023,64.358,-22.171,0.002,-0.016,94666.85,1
0.022,60.494,-33.256,-0.005,-0.03,126829.25,1
0.022,62.893,-22.171,0.003,-0.007,38387.81,1
0.022,62.893,-33.276,0.002,0.002,143790.21000000002,1
0.021,62.893,-33.276,0.001,-0.012,48509.91,1
0.02,62.893,-33.276,0.001,-0.001,159409.6,1
0.019,58.144,-59.875,-0.006,-0.001,50913.81,1
0.017,58.144,-100.0,-0.004,-0.007,28402.13,1
0.017,61.514,-66.667,0.004,0.002,93862.04,1
0.016,61.514,-50.0,0.003,0.001,34341.83,1
0.016,64.801,-0.0,0.008,0.007,40869.36,1
0.015,59.343,-50.0,-0.001,0.005,76180.81999999999,1
0.015,62.724,-0.0,0.006,0.01,39753.6,1
0.014,57.568,-50.0,-0.003,-0.006,41649.85,1
0.013,57.568,-50.0,-0.002,-0.004,104260.73,1
0.012,57.568,-50.0,-0.001,-0.009,21699.27,1
0.012,61.519,-0.0,0.006,0.007,54112.44,1
0.012,61.519,-0.0,0.004,-0.002,18057.44,1
0.011,55.524,-50.0,-0.004,-0.001,50307.47,1
0.01,55.524,-50.0,-0.003,-0.001,77994.99,1
0.009,55.524,-50.0,-0.002,-0.001,2970.6400000000003,1
0.008,55.524,-50.0,-0.001,-0.007,116309.72,1
0.008,60.678,-0.0,0.006,0.002,1231.4,1
0.008,60.678,-0.0,0.004,0.008,381420.74,1
0.007,53.489,-50.0,-0.004,-0.001,229514.38000000003,1
0.007,53.489,-50.0,-0.003,-0.001,2991.76,1
0.007,59.108,-0.0,0.005,0.006,124879.65000000001,1
0.007,59.108,-0.0,0.003,-0.003,128129.88,1
0.007,64.133,-0.0,0.008,0.005,124041.04000000001,1
0.008,64.133,-0.0,0.006,0.01,68087.25,1
0.009,68.648,-0.0,0.01,0.013,342641.01,1
0.01,68.648,-0.0,0.007,0.002,653985.1,1
0.01,68.648,-0.0,0.005,0.001,70373.54000000001,1
0.01,68.648,-0.0,0.003,-0.005,61735.02,1
0.01,68.648,-0.0,0.002,-0.004,77299.95999999999,1
0.009,58.061,-33.564,-0.005,-0.015,24243.289999999997,1
0.01,68.478,-0.0,0.009,0.003,123442.49,1
0.01,60.437,-39.917,-0.0,-0.005,244578.59999999998,1
0.01,64.878,-19.958,0.006,0.003,116484.85,1
0.011,68.666,-0.0,0.011,0.009,28696.780000000002,1
0.012,68.666,-0.0,0.007,0.012,44777.29,1
0.012,61.032,-24.935,-0.002,-0.011,201868.35,1
0.011,61.032,-33.218,-0.001,-0.001,68258.06,1
0.012,69.021,-0.0,0.012,0.006,175372.41999999998,1
0.013,69.021,-0.0,0.008,-0.003,50704.22,1
0.013,61.687,-24.935,-0.001,-0.008,14689.970000000001,1
0.013,65.621,-0.0,0.006,0.007,105575.39,1
0.013,65.621,-0.0,0.004,0.005,62494.130000000005,1
0.011,52.999,-66.667,-0.01,-0.022,146825.78,1
0.01,52.999,-66.667,-0.007,-0.015,40411.09,1
0.01,57.715,-50.0,0.002,0.003,105327.18000000001,1
0.01,61.839,-0.0,0.008,0.002,123203.84999999999,1
0.009,55.962,-50.0,-0.001,-0.005,288037.32,1
0.009,55.962,-50.0,-0.001,0.009,271212.48,1
0.007,50.405,-100.0,-0.007,-0.0,470309.73,1
0.006,50.405,-100.0,-0.005,-0.006,98708.88999999998,1
0.005,45.2,-100.0,-0.01,-0.017,23397.44,1
0.005,55.171,-33.333,0.006,0.008,175868.44,1
0.005,55.171,-33.333,0.004,0.005,51714.88,1
0.004,49.905,-66.667,-0.004,0.003,364098.51,1
0.004,54.574,-33.333,0.004,0.009,496156.32,1
0.005,58.718,-0.0,0.009,0.019,55872.98,1
0.005,53.466,-50.0,-0.0,-0.007,376630.73999999993,1
0.004,48.768,-75.0,-0.007,-0.011,58519.66,1
0.002,44.553,-100.0,-0.011,-0.007,15690.329999999998,1
0.002,49.275,-75.0,-0.001,-0.005,170140.22,1
0.001,49.275,-75.0,-0.001,-0.01,18743.0,1
-0.001,41.111,-100.0,-0.013,-0.013,230789.87000000002,1
0.0,53.527,-33.276,0.01,0.017,718378.2300000001,1
0.004,64.341,-0.0,0.033,0.044,1983291.28,0
0.005,54.147,-37.613,0.002,0.003,986895.3299999998,0
0.004,51.252,-50.065,-0.005,-0.004,196045.96000000002,0
0.003,48.462,-62.516,-0.01,0.004,409200.02,0
0.002,48.462,-62.516,-0.006,-0.017,146036.21,0
