feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,target
0.010,69.990,-16.638,0.005,0.001,79318.94999999998,0.414
0.010,63.204,-33.276,-0.003,-0.012,101334.23000000001,0.407
0.009,63.204,-33.276,-0.002,-0.008,9181.77,0.401
0.009,63.204,-33.276,-0.001,-0.012,25552.8,0.395
0.008,56.314,-60.083,-0.007,-0.014,72921.29000000001,0.389
0.006,50.452,-100.000,-0.011,-0.016,15378.48,0.383
0.005,55.447,-75.065,-0.001,0.002,13860.3,0.377
0.004,50.017,-100.000,-0.007,-0.005,10100.0,0.370
0.003,54.785,-75.065,0.002,0.003,19720.370000000003,0.364
0.003,54.785,-75.065,0.001,0.009,158488.36000000002,0.358
0.004,59.332,-49.870,0.007,0.019,55736.049999999996,0.352
0.003,53.535,-75.065,-0.002,-0.000,1872.2,0.346
0.004,61.578,-0.000,0.012,0.019,85355.53,0.340
0.007,67.589,-0.000,0.021,0.019,202554.04000000004,0.333
0.011,74.146,-0.000,0.033,0.032,1177537.7300000002,0.327
0.015,75.908,-9.969,0.028,0.021,1044116.8300000001,0.321
0.018,77.539,-0.000,0.025,0.027,545367.04,0.315
0.022,79.065,-8.391,0.023,0.012,634501.23,0.309
0.023,73.673,-16.696,0.009,-0.011,421860.58,0.302
0.024,68.633,-25.000,-0.000,-0.033,168974.06,0.296
0.024,70.785,-16.696,0.006,-0.022,271563.1,0.290
0.025,70.785,-18.208,0.004,-0.021,172283.31,0.284
0.023,61.022,-36.415,-0.010,-0.033,28584.36,0.278
0.021,56.823,-45.472,-0.013,-0.022,267564.96,0.272
0.019,56.823,-55.594,-0.009,-0.008,116156.54,0.265
0.017,56.823,-62.516,-0.006,-0.012,108011.22999999998,0.259
0.016,60.240,-66.667,0.003,-0.002,150840.06999999998,0.253
0.015,60.240,-66.667,0.002,0.012,26863.229999999996,0.247
0.013,50.856,-100.000,-0.012,0.001,94322.45,0.241
0.012,54.677,-83.247,-0.001,0.007,31764.96,0.235
0.011,58.146,-50.000,0.005,0.011,182348.13999999998,0.228
0.011,58.146,-50.000,0.004,0.001,12318.769999999999,0.222
0.010,53.406,-74.870,-0.004,-0.006,5888.01,0.216
0.009,53.406,-66.552,-0.003,0.009,88412.04000000001,0.210
0.010,63.729,-0.000,0.018,0.019,414829.82,0.204
0.011,63.729,-19.917,0.012,0.006,769133.67,0.198
0.012,63.729,-19.917,0.008,0.004,28227.15,0.191
0.012,63.729,-19.917,0.005,0.009,15.45,0.185
0.011,57.989,-39.834,-0.003,-0.000,10383.0,0.179
0.012,61.704,-19.917,0.004,-0.013,201499.21999999997,0.173
0.011,56.339,-39.834,-0.003,-0.015,5145.14,0.167
0.010,56.339,-39.834,-0.002,-0.010,123874.0,0.160
0.009,56.339,-49.870,-0.002,-0.007,80847.20999999999,0.154
0.009,60.616,-24.935,0.005,0.008,123229.03,0.148
0.009,60.616,-24.935,0.004,-0.001,241869.14,0.142
0.010,64.634,-0.000,0.009,0.012,158653.8,0.136
0.010,58.235,-33.218,-0.001,0.002,47848.79000000001,0.130
0.009,58.235,-33.218,-0.000,0.001,4528.4,0.123
0.009,58.235,-33.218,-0.000,-0.006,27938.75,0.117
0.008,51.828,-66.436,-0.007,-0.010,5618.0199999999995,0.111
0.007,51.828,-66.436,-0.004,-0.013,56.54,0.105
0.007,57.279,-50.000,0.003,0.004,46194.280000000006,0.099
0.005,46.007,-100.000,-0.011,-0.010,167345.26,0.093
0.005,55.449,-33.218,0.006,0.006,55240.28,0.086
0.005,55.449,-33.218,0.004,0.010,123.4,0.080
0.004,50.368,-66.436,-0.004,0.001,309948.2300000001,0.074
0.004,50.368,-66.436,-0.003,-0.006,69163.84,0.068
0.002,45.483,-100.000,-0.008,0.002,15992.28,0.062
0.001,45.483,-100.000,-0.005,-0.011,69782.0,0.056
0.001,50.995,-49.741,0.003,-0.001,110945.08000000002,0.049
0.000,45.988,-100.000,-0.005,-0.001,130679.98000000001,0.043
-0.000,45.988,-100.000,-0.003,-0.001,149174.21,0.037
-0.002,41.330,-100.000,-0.008,-0.000,389504.0,0.031
-0.001,51.882,-33.218,0.007,0.013,26522.4,0.025
0.000,56.110,-0.000,0.011,0.008,226087.77000000002,0.019
0.003,63.125,-0.000,0.020,0.025,276726.55,0.012
0.005,63.125,-0.000,0.014,0.017,110565.83999999998,0.006
0.005,57.745,-20.124,0.003,0.011,140268.68,0.012
0.006,57.745,-20.124,0.002,-0.006,67080.0,0.019
0.006,57.745,-20.124,0.001,-0.010,23821.469999999998,0.025
0.009,70.295,-0.000,0.026,0.006,488132.75,0.031
0.012,72.511,-9.969,0.024,0.011,808011.6699999999,0.037
0.015,72.511,-9.969,0.016,0.013,363128.29000000004,0.043
0.015,61.864,-30.010,-0.002,-0.004,168434.28999999995,0.049
0.017,69.165,-0.000,0.018,0.017,498735.33,0.056
0.020,72.880,-8.312,0.025,-0.002,583845.05,0.062
0.022,68.440,-19.958,0.010,-0.014,336269.76,0.068
0.022,64.227,-33.256,0.000,-0.016,103317.62999999998,0.074
0.023,68.415,-11.085,0.013,0.015,386728.59,0.080
0.023,64.358,-22.171,0.002,-0.016,94666.85,0.086
0.022,60.494,-33.256,-0.005,-0.030,126829.25,0.093
0.022,62.893,-22.171,0.003,-0.007,38387.81,0.099
0.022,62.893,-33.276,0.002,0.002,143790.21000000002,0.105
0.021,62.893,-33.276,0.001,-0.012,48509.91,0.111
0.020,62.893,-33.276,0.001,-0.001,159409.6,0.117
0.019,58.144,-59.875,-0.006,-0.001,50913.81,0.123
0.017,58.144,-100.000,-0.004,-0.007,28402.13,0.130
0.017,61.514,-66.667,0.004,0.002,93862.04,0.136
0.016,61.514,-50.000,0.003,0.001,34341.83,0.142
0.016,64.801,-0.000,0.008,0.007,40869.36,0.148
0.015,59.343,-50.000,-0.001,0.005,76180.81999999999,0.154
0.015,62.724,-0.000,0.006,0.010,39753.6,0.160
0.014,57.568,-50.000,-0.003,-0.006,41649.85,0.167
0.013,57.568,-50.000,-0.002,-0.004,104260.73,0.173
0.012,57.568,-50.000,-0.001,-0.009,21699.27,0.179
0.012,61.519,-0.000,0.006,0.007,54112.44,0.185
0.012,61.519,-0.000,0.004,-0.002,18057.44,0.191
0.011,55.524,-50.000,-0.004,-0.001,50307.47,0.198
0.010,55.524,-50.000,-0.003,-0.001,77994.99,0.204
0.009,55.524,-50.000,-0.002,-0.001,2970.6400000000003,0.210
0.008,55.524,-50.000,-0.001,-0.007,116309.72,0.216
0.008,60.678,-0.000,0.006,0.002,1231.4,0.222
0.008,60.678,-0.000,0.004,0.008,381420.74,0.228
0.007,53.489,-50.000,-0.004,-0.001,229514.38000000003,0.235
0.007,53.489,-50.000,-0.003,-0.001,2991.76,0.241
0.007,59.108,-0.000,0.005,0.006,124879.65000000001,0.247
0.007,59.108,-0.000,0.003,-0.003,128129.88,0.253
0.007,64.133,-0.000,0.008,0.005,124041.04000000001,0.259
0.008,64.133,-0.000,0.006,0.010,68087.25,0.265
0.009,68.648,-0.000,0.010,0.013,342641.01,0.272
0.010,68.648,-0.000,0.007,0.002,653985.1,0.278
0.010,68.648,-0.000,0.005,0.001,70373.54000000001,0.284
0.010,68.648,-0.000,0.003,-0.005,61735.02,0.290
0.010,68.648,-0.000,0.002,-0.004,77299.95999999999,0.296
0.009,58.061,-33.564,-0.005,-0.015,24243.289999999997,0.302
0.010,68.478,-0.000,0.009,0.003,123442.49,0.309
0.010,60.437,-39.917,-0.000,-0.005,244578.59999999998,0.315
0.010,64.878,-19.958,0.006,0.003,116484.85,0.321
0.011,68.666,-0.000,0.011,0.009,28696.780000000002,0.327
