"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2017","2.818","2.896","2.896","2.777","0","-2.49"
"Oct 26, 2017","2.890","2.929","2.941","2.867","0","-0.99"
"Oct 25, 2017","2.919","2.991","2.999","2.913","65.78K","-1.85"
"Oct 24, 2017","2.974","2.971","3.004","2.960","112.76K","-0.57"
"Oct 23, 2017","2.991","3.001","3.017","2.948","178.93K","0.30"
"Oct 22, 2017","2.982","3.001","3.015","2.981","0","2.30"
"Oct 20, 2017","2.915","2.886","2.940","2.856","225.04K","1.46"
"Oct 19, 2017","2.873","2.868","2.910","2.773","295.77K","0.67"
"Oct 18, 2017","2.854","2.923","2.941","2.851","205.29K","-3.65"
"Oct 17, 2017","2.962","2.955","3.026","2.921","202.67K","0.54"
"Oct 16, 2017","2.946","2.960","2.977","2.908","179.56K","-1.80"
"Oct 13, 2017","3.000","2.995","3.036","2.984","179.59K","0.37"
"Oct 12, 2017","2.989","2.906","3.008","2.895","308.99K","3.46"
"Oct 11, 2017","2.889","2.882","2.962","2.876","224.27K","-0.07"
"Oct 10, 2017","2.891","2.836","2.896","2.833","201.27K","2.05"
"Oct 09, 2017","2.833","2.859","2.886","2.827","174.73K","-1.05"
"Oct 06, 2017","2.863","2.895","2.917","2.856","226.64K","-2.05"
"Oct 05, 2017","2.923","2.934","2.995","2.894","180.00K","-0.58"
"Oct 04, 2017","2.940","2.905","2.977","2.898","160.56K","1.55"
"Oct 03, 2017","2.895","2.925","2.935","2.880","151.62K","-0.72"
"Oct 02, 2017","2.916","3.018","3.025","2.889","251.48K","-3.03"
"Sep 29, 2017","3.007","3.022","3.044","2.992","117.98K","-0.33"
"Sep 28, 2017","3.017","3.059","3.081","3.001","192.44K","1.45"
"Sep 27, 2017","2.974","2.917","2.989","2.912","15.71K","1.92"
"","","","","","",""
"","Highest:3.081","Lowest:2.773","Difference:0.308","Average:2.928","Change %:-3.427"
