"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2017","1,279.00","1,278.00","1,281.30","1,272.00","379.40K","0.05"
"Oct 24, 2017","1,278.30","1,283.90","1,285.30","1,274.80","268.91K","-0.20"
"Oct 23, 2017","1,280.90","1,281.50","1,284.70","1,273.60","284.48K","0.03"
"Oct 20, 2017","1,280.50","1,292.00","1,292.90","1,279.30","314.81K","-0.74"
"Oct 19, 2017","1,290.00","1,282.80","1,292.80","1,277.60","355.71K","0.55"
"Oct 18, 2017","1,283.00","1,286.90","1,290.80","1,278.60","258.54K","-0.25"
"Oct 17, 2017","1,286.20","1,297.20","1,298.40","1,283.20","342.41K","-1.29"
"Oct 16, 2017","1,303.00","1,306.00","1,308.40","1,292.50","271.28K","-0.12"
"Oct 13, 2017","1,304.60","1,296.00","1,306.40","1,292.90","297.57K","0.62"
"Oct 12, 2017","1,296.50","1,294.60","1,299.80","1,291.80","246.08K","0.59"
"Oct 11, 2017","1,288.90","1,290.70","1,295.90","1,286.80","261.36K","-0.38"
"Oct 10, 2017","1,293.80","1,286.80","1,296.70","1,284.60","316.58K","0.68"
"Oct 09, 2017","1,285.00","1,278.60","1,288.00","1,277.70","200.99K","0.79"
"Oct 06, 2017","1,274.90","1,270.60","1,279.20","1,262.80","373.75K","0.13"
"Oct 05, 2017","1,273.20","1,277.50","1,281.60","1,268.50","221.52K","-0.28"
"Oct 04, 2017","1,276.80","1,274.50","1,285.00","1,273.10","273.12K","0.17"
"Oct 03, 2017","1,274.60","1,273.10","1,277.40","1,271.00","207.42K","-0.09"
"Oct 02, 2017","1,275.80","1,282.20","1,282.80","1,272.00","272.71K","-0.70"
"Sep 29, 2017","1,284.80","1,290.10","1,293.20","1,278.20","287.45K","-0.30"
"Sep 28, 2017","1,288.70","1,285.10","1,291.60","1,280.40","288.51K","0.07"
"Sep 27, 2017","1,287.80","1,297.30","1,299.20","1,284.10","374.77K","-1.07"
"Sep 26, 2017","1,301.70","1,314.20","1,317.10","1,295.00","385.65K","-0.75"
"Sep 25, 2017","1,311.50","1,301.50","1,315.80","1,291.70","362.67K","1.08"
"","","","","","",""
"","Highest:1,317.10","Lowest:1,262.80","Difference:54.30","Average:1,286.93","Change %:-1.43"
