"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 25, 2017","1,311.50","1,301.50","1,315.80","1,291.70","362.67K","1.08"
"Sep 22, 2017","1,297.50","1,294.10","1,301.90","1,294.10","264.47K","0.21"
"Sep 21, 2017","1,294.80","1,304.80","1,305.00","1,291.20","402.21K","-1.64"
"Sep 20, 2017","1,316.40","1,314.70","1,319.80","1,299.50","351.42K","0.44"
"Sep 19, 2017","1,310.60","1,310.50","1,315.30","1,308.70","275.31K","-0.02"
"Sep 18, 2017","1,310.80","1,324.00","1,324.00","1,308.10","271.33K","-1.09"
"Sep 15, 2017","1,325.20","1,333.70","1,338.20","1,323.00","320.51K","-0.31"
"Sep 14, 2017","1,329.30","1,327.60","1,334.90","1,319.50","336.58K","0.10"
"Sep 13, 2017","1,328.00","1,336.20","1,340.50","1,324.50","306.37K","-0.35"
"Sep 12, 2017","1,332.70","1,331.70","1,336.30","1,326.70","287.75K","-0.22"
"Sep 11, 2017","1,335.70","1,341.50","1,344.60","1,330.60","303.11K","-1.15"
"Sep 08, 2017","1,351.20","1,354.00","1,362.40","1,347.10","386.65K","0.07"
"Sep 07, 2017","1,350.30","1,339.00","1,355.50","1,337.20","363.78K","0.84"
"Sep 06, 2017","1,339.00","1,345.00","1,347.70","1,336.40","309.35K","-0.41"
"Sep 05, 2017","1,344.50","1,339.70","1,349.70","1,331.10","557.99K","0.48"
"Sep 04, 2017","1,338.08","1,341.21","1,344.59","1,337.01","0","-0.23"
"Sep 03, 2017","1,341.22","1,340.54","1,342.07","1,338.96","0","0.81"
"Sep 01, 2017","1,330.40","1,326.90","1,334.50","1,321.40","368.17K","0.62"
"Aug 31, 2017","1,322.20","1,314.10","1,329.00","1,302.30","376.31K","0.62"
"Aug 30, 2017","1,314.10","1,314.80","1,319.30","1,310.10","312.01K","-0.36"
"Aug 29, 2017","1,318.90","1,320.50","1,331.90","1,310.60","460.45K","0.27"
"Aug 28, 2017","1,315.30","1,297.60","1,317.80","1,297.00","321.81K","1.34"
"Aug 25, 2017","1,297.90","1,291.30","1,301.40","1,281.30","358.61K","0.46"
"Aug 24, 2017","1,292.00","1,296.00","1,296.80","1,289.30","246.72K","-0.21"
"Aug 23, 2017","1,294.70","1,290.40","1,297.00","1,287.90","235.69K","0.29"
"Aug 22, 2017","1,291.00","1,297.10","1,298.10","1,287.00","268.99K","-0.44"
"Aug 21, 2017","1,296.70","1,289.10","1,299.70","1,286.20","261.48K","0.39"
"Aug 18, 2017","1,291.60","1,293.80","1,306.90","1,289.10","396.54K","-0.06"
"Aug 17, 2017","1,292.40","1,290.00","1,296.00","1,286.40","329.84K","0.74"
"Aug 16, 2017","1,282.90","1,276.90","1,289.50","1,273.20","273.20K","0.25"
"Aug 15, 2017","1,279.70","1,287.00","1,287.70","1,272.70","287.56K","-0.83"
"Aug 14, 2017","1,290.40","1,296.40","1,296.40","1,284.20","238.07K","-0.28"
"Aug 11, 2017","1,294.00","1,292.50","1,298.10","1,286.70","265.33K","0.30"
"Aug 10, 2017","1,290.10","1,283.20","1,293.80","1,280.30","269.83K","0.84"
"Aug 09, 2017","1,279.30","1,266.10","1,284.70","1,265.90","290.97K","1.32"
"Aug 08, 2017","1,262.60","1,262.90","1,271.00","1,257.10","247.54K","-0.17"
"Aug 07, 2017","1,264.70","1,264.30","1,265.60","1,261.30","123.21K","0.01"
"Aug 04, 2017","1,264.60","1,275.30","1,276.50","1,259.80","270.85K","-0.77"
"Aug 03, 2017","1,274.40","1,272.60","1,277.00","1,262.90","207.02K","-0.31"
"Aug 02, 2017","1,278.40","1,275.20","1,279.00","1,268.90","210.98K","-0.08"
"Aug 01, 2017","1,279.40","1,275.60","1,280.30","1,268.40","213.54K","0.47"
"Jul 31, 2017","1,273.40","1,276.30","1,277.30","1,271.70","165.13K","-0.15"
"Jul 28, 2017","1,275.30","1,265.00","1,277.00","1,263.20","250.89K","0.69"
"Jul 27, 2017","1,266.50","1,266.80","1,271.30","1,260.30","161.44K","0.87"
"Jul 26, 2017","1,255.60","1,256.20","1,269.80","1,249.40","95.79K","-0.23"
"Jul 25, 2017","1,258.50","1,261.90","1,264.20","1,255.10","62.31K","0.33"
"Jul 24, 2017","1,254.30","1,255.50","1,259.00","1,252.00","212.88K","-0.05"
"Jul 21, 2017","1,254.90","1,244.10","1,255.90","1,242.80","240.53K","0.75"
"Jul 20, 2017","1,245.50","1,240.60","1,247.20","1,234.60","269.02K","0.28"
"Jul 19, 2017","1,242.00","1,242.00","1,243.50","1,235.10","198.03K","0.01"
"Jul 18, 2017","1,241.90","1,233.30","1,244.10","1,232.20","253.19K","0.66"
"Jul 17, 2017","1,233.70","1,228.70","1,235.40","1,227.50","174.90K","0.51"
"Jul 14, 2017","1,227.50","1,216.40","1,232.70","1,214.00","267.44K","0.84"
"Jul 13, 2017","1,217.30","1,219.20","1,223.60","1,215.60","227.82K","-0.15"
"Jul 12, 2017","1,219.10","1,216.50","1,225.20","1,212.50","262.77K","0.36"
"Jul 11, 2017","1,214.70","1,213.80","1,217.10","1,207.40","217.24K","0.12"
"Jul 10, 2017","1,213.20","1,212.10","1,215.00","1,204.00","238.26K","0.29"
"Jul 07, 2017","1,209.70","1,224.60","1,228.10","1,206.60","322.18K","-1.11"
"Jul 06, 2017","1,223.30","1,226.50","1,229.50","1,221.80","192.21K","0.13"
"Jul 05, 2017","1,221.70","1,220.10","1,228.40","1,216.50","366.77K","-0.48"
"Jul 04, 2017","1,227.55","1,224.30","1,228.03","1,221.49","0","0.68"
"Jul 03, 2017","1,219.20","1,241.70","1,242.60","1,218.00","284.45K","-1.86"
"Jun 30, 2017","1,242.30","1,245.20","1,248.20","1,239.00","222.76K","-0.28"
"Jun 29, 2017","1,245.80","1,249.60","1,253.20","1,239.70","277.75K","-0.26"
"Jun 28, 2017","1,249.10","1,247.30","1,255.70","1,246.70","195.07K","0.18"
"Jun 27, 2017","1,246.90","1,245.20","1,253.80","1,241.80","213.42K","0.04"
"Jun 26, 2017","1,246.40","1,258.10","1,259.00","1,236.50","227.47K","-0.80"
"Jun 23, 2017","1,256.40","1,250.90","1,260.00","1,250.60","162.67K","0.56"
"Jun 22, 2017","1,249.40","1,246.40","1,256.00","1,246.40","187.39K","0.29"
"Jun 21, 2017","1,245.80","1,243.90","1,248.80","1,241.70","170.46K","0.18"
"Jun 20, 2017","1,243.50","1,245.40","1,249.40","1,242.40","185.39K","-0.26"
"Jun 19, 2017","1,246.70","1,255.80","1,257.30","1,244.30","179.65K","-0.78"
"Jun 16, 2017","1,256.50","1,255.60","1,258.60","1,253.20","149.11K","0.15"
"Jun 15, 2017","1,254.60","1,262.70","1,268.50","1,252.70","255.15K","-1.67"
"Jun 14, 2017","1,275.90","1,268.40","1,284.20","1,259.00","348.34K","0.58"
"Jun 13, 2017","1,268.60","1,267.70","1,271.00","1,260.50","175.60K","-0.02"
"Jun 12, 2017","1,268.90","1,269.70","1,272.40","1,265.60","173.01K","-0.20"
"Jun 09, 2017","1,271.40","1,283.50","1,284.60","1,266.70","219.21K","-0.63"
"Jun 08, 2017","1,279.50","1,289.50","1,291.50","1,273.50","257.44K","-1.06"
"Jun 07, 2017","1,293.20","1,297.00","1,297.60","1,285.00","218.85K","-0.33"
"Jun 06, 2017","1,297.50","1,282.50","1,298.80","1,282.10","257.79K","1.15"
"Jun 05, 2017","1,282.70","1,282.60","1,286.00","1,280.20","139.80K","0.20"
"Jun 02, 2017","1,280.20","1,268.00","1,282.20","1,261.30","272.29K","0.80"
"Jun 01, 2017","1,270.10","1,271.60","1,272.80","1,263.70","181.20K","-0.42"
"May 31, 2017","1,275.40","1,265.70","1,276.80","1,262.00","204.29K","0.77"
"May 30, 2017","1,265.70","1,271.20","1,273.40","1,261.80","286.21K","-0.08"
"May 29, 2017","1,266.69","1,268.02","1,268.60","1,264.96","0","-0.12"
"May 28, 2017","1,268.22","1,266.31","1,269.02","1,266.31","0","-0.25"
"May 26, 2017","1,271.40","1,258.60","1,272.70","1,256.20","159.00K","0.92"
"May 25, 2017","1,259.80","1,261.60","1,262.80","1,256.90","63.17K","0.26"
"May 24, 2017","1,256.50","1,253.80","1,262.20","1,250.90","48.74K","-0.19"
"May 23, 2017","1,258.90","1,263.20","1,267.10","1,254.00","54.13K","-0.47"
"May 22, 2017","1,264.80","1,260.00","1,265.80","1,254.80","45.56K","0.89"
"May 19, 2017","1,253.60","1,246.80","1,256.40","1,246.10","212.92K","0.06"
"May 18, 2017","1,252.80","1,261.40","1,265.00","1,245.70","368.90K","-0.47"
"May 17, 2017","1,258.70","1,237.20","1,261.50","1,236.30","377.87K","1.80"
"May 16, 2017","1,236.40","1,230.80","1,239.10","1,230.00","204.21K","0.52"
"May 15, 2017","1,230.00","1,228.30","1,237.40","1,226.80","189.23K","0.19"
"May 12, 2017","1,227.70","1,225.00","1,231.60","1,224.40","199.88K","0.29"
"May 11, 2017","1,224.20","1,219.20","1,227.70","1,216.90","237.71K","0.43"
"May 10, 2017","1,218.90","1,222.10","1,225.80","1,217.50","194.72K","0.23"
"May 09, 2017","1,216.10","1,226.60","1,228.70","1,214.30","254.02K","-0.90"
"May 08, 2017","1,227.10","1,223.10","1,236.90","1,221.00","201.06K","0.02"
"May 05, 2017","1,226.90","1,228.50","1,236.00","1,226.20","275.89K","-0.14"
"May 04, 2017","1,228.60","1,238.50","1,241.70","1,225.70","318.32K","-1.59"
"May 03, 2017","1,248.50","1,257.80","1,257.80","1,236.40","253.65K","-0.68"
"May 02, 2017","1,257.00","1,257.40","1,258.80","1,252.60","181.51K","0.12"
"May 01, 2017","1,255.50","1,269.60","1,272.40","1,254.90","199.78K","-1.01"
"Apr 28, 2017","1,268.30","1,265.20","1,269.90","1,264.20","173.29K","0.19"
"Apr 27, 2017","1,265.90","1,270.20","1,271.10","1,261.80","210.73K","0.13"
"Apr 26, 2017","1,264.20","1,265.50","1,272.80","1,260.70","241.05K","-0.24"
"Apr 25, 2017","1,267.20","1,277.90","1,279.90","1,262.80","253.77K","-0.81"
"Apr 24, 2017","1,277.50","1,280.00","1,280.00","1,266.00","302.84K","-0.90"
"Apr 21, 2017","1,289.10","1,283.30","1,290.10","1,280.00","229.60K","0.41"
"Apr 20, 2017","1,283.80","1,282.20","1,285.20","1,278.00","245.62K","0.03"
"Apr 19, 2017","1,283.40","1,291.70","1,292.70","1,275.40","260.70K","-0.83"
"Apr 18, 2017","1,294.10","1,286.70","1,294.40","1,280.60","280.74K","0.17"
"Apr 17, 2017","1,291.90","1,292.40","1,297.40","1,283.10","191.67K","0.17"
"Apr 14, 2017","1,289.65","1,289.65","1,289.65","1,289.65","0","0.09"
"Apr 13, 2017","1,288.50","1,288.30","1,290.70","1,283.80","235.46K","0.81"
