"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2017","53.77","52.69","53.92","52.26","0","2.15"
"Oct 26, 2017","52.64","52.19","52.86","51.91","0","0.88"
"Oct 25, 2017","52.18","52.56","52.57","51.89","681.74K","-0.55"
"Oct 24, 2017","52.47","51.89","52.62","51.55","709.55K","1.10"
"Oct 23, 2017","51.90","52.07","52.30","51.68","583.56K","-0.40"
"Oct 22, 2017","52.11","52.07","52.24","52.07","0","1.24"
"Oct 20, 2017","51.47","51.42","51.73","50.70","32.96K","0.35"
"Oct 19, 2017","51.29","52.05","52.17","51.07","127.41K","-1.44"
"Oct 18, 2017","52.04","51.94","52.33","51.69","152.62K","0.31"
"Oct 17, 2017","51.88","51.93","52.25","51.21","471.61K","0.02"
"Oct 16, 2017","51.87","51.43","52.37","51.35","520.73K","0.82"
"Oct 13, 2017","51.45","50.73","51.72","50.70","667.50K","1.68"
"Oct 12, 2017","50.60","51.00","51.13","50.15","729.27K","-1.36"
"Oct 11, 2017","51.30","50.94","51.42","50.61","651.95K","0.75"
"Oct 10, 2017","50.92","49.55","51.06","49.54","664.84K","2.70"
"Oct 09, 2017","49.58","49.25","49.79","49.13","505.08K","0.59"
"Oct 06, 2017","49.29","50.75","50.82","49.10","743.11K","-2.95"
"Oct 05, 2017","50.79","49.88","51.22","49.85","654.39K","1.62"
"Oct 04, 2017","49.98","50.16","50.67","49.76","598.84K","-0.87"
"Oct 03, 2017","50.42","50.59","50.73","50.14","462.74K","-0.32"
"Oct 02, 2017","50.58","51.64","51.71","50.07","600.93K","-2.11"
"Sep 29, 2017","51.67","51.58","51.77","51.25","551.98K","0.21"
"Sep 28, 2017","51.56","52.05","52.86","51.22","801.82K","-1.11"
"Sep 27, 2017","52.14","52.09","52.34","51.63","637.04K","0.50"
"","","","","","",""
"","Highest:53.92","Lowest:49.10","Difference:4.82","Average:51.41","Change %:3.64"
