"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2017","52.14","52.09","52.34","51.63","637.04K","0.50"
"Sep 26, 2017","51.88","52.12","52.43","51.43","709.52K","-0.65"
"Sep 25, 2017","52.22","50.68","52.28","50.39","701.24K","3.08"
"Sep 22, 2017","50.66","50.73","50.78","50.29","473.80K","0.22"
"Sep 21, 2017","50.55","50.72","50.81","50.07","580.57K","0.28"
"Sep 20, 2017","50.41","49.84","50.65","49.75","35.49K","1.88"
"Sep 19, 2017","49.48","49.91","50.42","49.33","143.38K","-0.86"
"Sep 18, 2017","49.91","49.85","50.33","49.19","189.61K","0.04"
"Sep 15, 2017","49.89","49.72","50.13","49.41","433.60K","0.00"
"Sep 14, 2017","49.89","49.31","50.50","49.15","709.04K","1.20"
"Sep 13, 2017","49.30","48.34","49.40","48.12","706.93K","2.22"
"Sep 12, 2017","48.23","48.12","48.44","47.73","676.04K","0.33"
"Sep 11, 2017","48.07","47.58","48.27","47.00","774.47K","1.24"
"Sep 08, 2017","47.48","49.09","49.26","47.27","843.76K","-3.28"
"Sep 07, 2017","49.09","49.14","49.33","48.63","702.51K","-0.14"
"Sep 06, 2017","49.16","48.59","49.42","48.52","788.96K","1.03"
"Sep 05, 2017","48.66","47.28","48.98","47.15","742.81K","2.64"
"Sep 04, 2017","47.41","47.31","47.66","47.16","0","0.19"
"Sep 03, 2017","47.32","47.31","47.42","47.30","0","0.06"
"Sep 01, 2017","47.29","47.08","47.35","46.56","915.71K","0.13"
"Aug 31, 2017","47.23","45.95","47.47","45.58","882.98K","2.76"
"Aug 30, 2017","45.96","46.31","46.72","45.84","895.64K","-1.03"
"Aug 29, 2017","46.44","46.86","46.96","45.76","895.64K","-0.28"
"Aug 28, 2017","46.57","47.89","48.20","46.15","921.29K","-2.72"
"Aug 25, 2017","47.87","47.62","47.91","47.39","646.52K","0.93"
"Aug 24, 2017","47.43","48.36","48.43","47.06","831.36K","-2.02"
"Aug 23, 2017","48.41","47.64","48.50","47.53","701.69K","1.62"
"Aug 22, 2017","47.64","47.45","48.03","47.20","38.40K","0.57"
"Aug 21, 2017","47.37","48.72","48.75","47.03","129.19K","-2.35"
"Aug 18, 2017","48.51","46.93","48.74","46.78","253.07K","3.02"
"Aug 17, 2017","47.09","46.80","47.19","46.46","608.31K","0.66"
"Aug 16, 2017","46.78","47.72","47.99","46.67","815.54K","-1.62"
"Aug 15, 2017","47.55","47.49","47.90","47.02","770.36K","-0.08"
"Aug 14, 2017","47.59","48.79","49.16","47.43","763.24K","-2.52"
"Aug 11, 2017","48.82","48.52","48.98","47.98","804.24K","0.47"
"Aug 10, 2017","48.59","49.68","50.22","48.35","1.14M","-1.96"
"Aug 09, 2017","49.56","49.00","49.72","48.90","858.25K","0.79"
"Aug 08, 2017","49.17","49.31","49.79","48.86","924.24K","-0.45"
"Aug 07, 2017","49.39","49.59","49.73","48.54","831.37K","-0.38"
"Aug 04, 2017","49.58","48.95","49.64","48.50","745.66K","1.12"
"Aug 03, 2017","49.03","49.59","49.96","48.78","837.76K","-1.13"
"Aug 02, 2017","49.59","48.80","49.65","48.55","847.72K","0.87"
"Aug 01, 2017","49.16","50.21","50.43","48.37","1.01M","-2.01"
"Jul 31, 2017","50.17","49.85","50.41","49.18","781.54K","0.93"
"Jul 28, 2017","49.71","49.17","49.81","48.86","771.23K","1.37"
"Jul 27, 2017","49.04","48.70","49.24","48.25","880.76K","0.59"
"Jul 26, 2017","48.75","48.51","48.87","47.86","887.86K","1.80"
"Jul 25, 2017","47.89","46.46","48.66","46.38","885.70K","3.34"
"Jul 24, 2017","46.34","45.62","46.53","45.40","707.91K","1.25"
"Jul 21, 2017","45.77","46.91","47.21","45.54","769.44K","-2.18"
"Jul 20, 2017","46.79","47.09","47.55","46.66","23.24K","-0.70"
"Jul 19, 2017","47.12","46.25","47.26","46.14","140.68K","1.55"
"Jul 18, 2017","46.40","45.99","46.92","45.81","208.42K","0.83"
"Jul 17, 2017","46.02","46.68","46.88","45.89","560.63K","-1.12"
"Jul 14, 2017","46.54","46.08","46.74","45.80","742.90K","1.00"
"Jul 13, 2017","46.08","45.44","46.28","44.99","748.97K","1.30"
"Jul 12, 2017","45.49","45.74","46.48","45.11","963.51K","1.00"
"Jul 11, 2017","45.04","44.58","45.81","43.83","1.01M","1.44"
"Jul 10, 2017","44.40","44.35","44.84","43.65","848.57K","0.38"
"Jul 07, 2017","44.23","45.35","45.42","43.78","975.91K","-2.83"
"Jul 06, 2017","45.52","45.65","46.53","45.18","969.68K","0.86"
"Jul 05, 2017","45.13","47.04","47.32","44.51","1.17M","-4.24"
"Jul 04, 2017","47.13","47.06","47.31","46.74","0","0.13"
"Jul 03, 2017","47.07","46.28","47.10","45.92","517.62K","2.24"
"Jun 30, 2017","46.04","44.89","46.35","44.88","677.41K","2.47"
"Jun 29, 2017","44.93","44.89","45.45","44.65","768.95K","0.42"
"Jun 28, 2017","44.74","43.70","44.90","43.67","753.38K","1.13"
"Jun 27, 2017","44.24","43.49","44.44","43.32","759.12K","1.98"
"Jun 26, 2017","43.38","43.16","43.65","42.63","661.35K","0.86"
"Jun 23, 2017","43.01","42.80","43.20","42.53","690.91K","0.63"
"Jun 22, 2017","42.74","42.55","43.32","42.26","668.83K","0.49"
