"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2017","16.748","16.700","16.815","16.695","0.04K","-0.33"
"Sep 26, 2017","16.804","16.875","16.890","16.775","0.11K","-1.49"
"Sep 25, 2017","17.059","16.850","17.090","16.810","0.17K","0.60"
"Sep 24, 2017","16.957","17.033","17.033","16.931","0","0.32"
"Sep 22, 2017","16.903","16.985","16.985","16.905","0.09K","-0.20"
"Sep 21, 2017","16.937","16.895","16.920","16.800","0.21K","-1.82"
"Sep 20, 2017","17.251","17.255","17.340","17.010","0.09K","0.33"
"Sep 19, 2017","17.195","17.135","17.240","17.115","0.16K","0.73"
"Sep 18, 2017","17.071","17.490","17.520","17.030","0.21K","-3.02"
"Sep 17, 2017","17.602","17.663","17.663","17.590","0","-0.05"
"Sep 15, 2017","17.611","17.760","17.800","17.550","0.24K","-0.49"
"Sep 14, 2017","17.698","17.650","17.760","17.580","0.28K","-0.42"
"Sep 13, 2017","17.772","17.860","17.910","17.635","0.43K","-0.13"
"Sep 12, 2017","17.795","17.780","17.870","17.705","0.36K","-0.07"
"Sep 11, 2017","17.807","17.890","17.890","17.695","0.40K","-0.69"
"Sep 10, 2017","17.930","17.859","17.953","17.828","0","-0.54"
"Sep 08, 2017","18.027","18.090","18.160","17.915","0.36K","0.06"
"Sep 07, 2017","18.016","17.840","18.105","17.795","0.81K","1.12"
"Sep 06, 2017","17.816","17.915","17.970","17.800","0.31K","-0.16"
"Sep 05, 2017","17.845","17.780","17.980","17.775","0.95K","-0.39"
"Sep 04, 2017","17.914","17.929","18.025","17.865","0","-0.11"
"Sep 03, 2017","17.934","17.895","17.957","17.873","0","1.21"
"Sep 01, 2017","17.719","17.565","17.720","17.445","0.54K","1.37"
"Aug 31, 2017","17.480","17.420","17.600","17.255","1.47K","0.44"
"Aug 30, 2017","17.404","17.390","17.460","17.285","21.20K","-0.13"
"Aug 29, 2017","17.426","17.540","17.665","17.255","115.11K","-0.09"
"Aug 28, 2017","17.441","17.055","17.480","17.020","99.64K","2.34"
"Aug 27, 2017","17.042","17.069","17.216","17.040","0","-0.04"
"","","","","","",""
"","Highest:18.160","Lowest:16.695","Difference:1.465","Average:17.472","Change %:-1.766"
