"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2017","17.042","17.069","17.216","17.040","0","-0.04"
"Aug 25, 2017","17.049","16.955","17.180","16.715","117.11K","0.51"
"Aug 24, 2017","16.963","17.085","17.100","16.815","109.37K","-0.49"
"Aug 23, 2017","17.046","16.980","17.105","16.910","80.19K","0.38"
"Aug 22, 2017","16.982","17.005","17.115","16.870","88.51K","-0.19"
"Aug 21, 2017","17.015","16.935","17.120","16.830","90.12K","0.70"
"Aug 20, 2017","16.896","16.939","16.944","16.829","0","-0.61"
"Aug 18, 2017","17.000","17.035","17.320","16.850","113.50K","-0.31"
"Aug 17, 2017","17.053","17.035","17.055","17.030","98.94K","0.67"
"Aug 16, 2017","16.940","16.640","17.130","16.610","99.91K","1.35"
"Aug 15, 2017","16.714","17.060","17.065","16.560","98.50K","-2.38"
"Aug 14, 2017","17.122","17.130","17.215","16.925","73.47K","0.27"
"Aug 13, 2017","17.076","17.104","17.110","17.064","0","0.04"
"Aug 11, 2017","17.070","17.125","17.195","16.880","94.48K","0.03"
"Aug 10, 2017","17.065","16.940","17.240","16.850","105.22K","1.20"
"Aug 09, 2017","16.863","16.440","16.945","16.430","106.93K","2.89"
"Aug 08, 2017","16.389","16.240","16.460","16.205","79.11K","0.85"
"Aug 07, 2017","16.251","16.270","16.280","16.095","58.15K","0.16"
"Aug 06, 2017","16.225","16.267","16.267","16.225","0","-0.17"
"Aug 04, 2017","16.252","16.700","16.750","16.170","97.42K","-2.27"
"Aug 03, 2017","16.630","16.570","16.680","16.420","57.97K","-0.62"
"Aug 02, 2017","16.733","16.695","16.960","16.455","77.87K","-0.18"
"Aug 01, 2017","16.764","16.835","16.845","16.590","61.89K","-0.13"
"Jul 31, 2017","16.786","16.745","16.870","16.665","56.47K","0.08"
"Jul 30, 2017","16.773","16.757","16.787","16.752","0","0.47"
"Jul 28, 2017","16.695","16.575","16.750","16.505","49.95K","0.74"
"Jul 27, 2017","16.573","16.640","16.810","16.540","69.33K","0.69"
"Jul 26, 2017","16.459","16.465","16.680","16.280","67.14K","-0.50"
"Jul 25, 2017","16.542","16.460","16.605","16.225","76.17K","0.60"
"Jul 24, 2017","16.443","16.500","16.575","16.405","62.92K","-0.37"
"Jul 23, 2017","16.504","16.500","16.506","16.448","0","0.29"
"Jul 21, 2017","16.457","16.280","16.510","16.280","59.69K","0.69"
"Jul 20, 2017","16.345","16.250","16.395","16.110","84.81K","0.29"
"Jul 19, 2017","16.297","16.265","16.345","16.125","81.90K","0.18"
"Jul 18, 2017","16.268","16.080","16.310","16.060","91.04K","1.05"
"Jul 17, 2017","16.099","15.990","16.170","15.935","78.61K","0.48"
"Jul 16, 2017","16.022","15.966","16.024","15.947","0","0.56"
"Jul 14, 2017","15.933","15.660","16.070","15.575","92.37K","1.54"
"Jul 13, 2017","15.691","15.875","15.955","15.660","76.09K","-1.23"
"Jul 12, 2017","15.887","15.810","15.995","15.710","96.48K","0.90"
"Jul 11, 2017","15.745","15.640","15.830","15.425","96.43K","0.74"
"Jul 10, 2017","15.629","15.580","15.705","15.145","125.08K","0.26"
"Jul 09, 2017","15.589","15.597","15.604","15.538","0","1.06"
"Jul 07, 2017","15.425","16.025","16.140","15.320","156.69K","-3.49"
"Jul 06, 2017","15.983","16.055","16.080","15.910","68.31K","0.55"
"Jul 05, 2017","15.896","16.135","16.190","15.850","138.59K","-1.43"
"Jul 04, 2017","16.126","16.152","16.169","16.013","0","0.21"
"Jul 03, 2017","16.092","16.635","16.645","16.075","94.30K","-3.02"
"Jul 02, 2017","16.593","16.601","16.613","16.583","0","-0.20"
"Jun 30, 2017","16.627","16.635","16.705","16.505","71.27K","-0.16"
"Jun 29, 2017","16.654","16.835","16.915","16.615","97.14K","-0.82"
"Jun 28, 2017","16.791","16.685","16.890","16.680","48.63K","0.84"
"Jun 27, 2017","16.651","16.560","16.780","16.550","51.95K","0.12"
"Jun 26, 2017","16.631","16.755","16.785","16.280","27.89K","-0.29"
"Jun 25, 2017","16.680","16.685","16.720","16.655","0","-0.16"
"Jun 23, 2017","16.707","16.580","16.825","16.580","32.11K","1.20"
"Jun 22, 2017","16.509","16.400","16.640","16.400","92.15K","0.82"
"Jun 21, 2017","16.374","16.415","16.495","16.315","84.04K","-0.26"
"Jun 20, 2017","16.417","16.465","16.605","16.360","80.76K","-0.52"
"Jun 19, 2017","16.502","16.670","16.680","16.445","73.82K","-1.00"
"Jun 18, 2017","16.668","16.649","16.669","16.642","0","0.04"
"Jun 16, 2017","16.661","16.720","16.800","16.620","68.24K","-0.33"
"Jun 15, 2017","16.716","16.875","17.065","16.620","101.17K","-2.45"
"Jun 14, 2017","17.136","16.820","17.365","16.790","127.36K","2.20"
"Jun 13, 2017","16.767","16.945","16.955","16.705","97.81K","-1.04"
"Jun 12, 2017","16.944","17.170","17.215","16.890","91.83K","-1.18"
"Jun 11, 2017","17.147","17.165","17.178","17.119","0","-0.44"
"Jun 09, 2017","17.223","17.485","17.495","17.155","70.49K","-1.10"
"Jun 08, 2017","17.414","17.560","17.680","17.285","86.64K","-1.17"
"Jun 07, 2017","17.620","17.710","17.725","17.505","67.36K","-0.51"
"Jun 06, 2017","17.710","17.545","17.745","17.515","75.07K","0.73"
"Jun 05, 2017","17.581","17.550","17.650","17.495","49.62K","0.04"
"Jun 04, 2017","17.574","17.548","17.593","17.533","0","0.28"
"Jun 02, 2017","17.525","17.270","17.580","17.115","104.15K","1.41"
"Jun 01, 2017","17.281","17.315","17.370","16.985","88.52K","-0.72"
"May 31, 2017","17.406","17.385","17.420","17.225","73.26K","-0.12"
"May 30, 2017","17.427","17.340","17.465","17.205","75.85K","0.20"
"May 29, 2017","17.392","17.385","17.449","17.330","0","0.01"
"May 28, 2017","17.390","17.348","17.394","17.348","0","0.39"
"May 26, 2017","17.323","17.145","17.380","17.085","67.81K","0.76"
"May 25, 2017","17.193","17.215","17.260","17.125","57.92K","0.44"
"May 24, 2017","17.117","17.050","17.230","16.895","82.16K","-0.13"
"May 23, 2017","17.139","17.165","17.305","17.030","92.73K","-0.30"
"May 22, 2017","17.191","16.870","17.210","16.840","78.64K","1.18"
"May 21, 2017","16.990","16.873","17.145","16.857","0","1.16"
"May 19, 2017","16.796","16.580","16.875","16.565","75.95K","0.76"
"May 18, 2017","16.670","16.890","16.945","16.430","115.49K","-1.40"
"May 17, 2017","16.906","16.850","17.035","16.755","121.34K","0.95"
"May 16, 2017","16.747","16.630","16.865","16.610","71.85K","0.87"
"May 15, 2017","16.603","16.460","16.815","16.410","80.99K","0.80"
"May 14, 2017","16.471","16.467","16.505","16.467","0","0.42"
"May 12, 2017","16.402","16.330","16.475","16.300","59.66K","0.84"
"May 11, 2017","16.265","16.205","16.390","16.165","66.28K","0.36"
"May 10, 2017","16.207","16.180","16.345","16.145","78.42K","0.87"
"May 09, 2017","16.067","16.235","16.315","16.060","71.19K","-1.17"
"May 08, 2017","16.258","16.310","16.455","16.230","55.08K","-1.41"
"May 07, 2017","16.490","16.311","16.491","16.311","0","1.33"
"May 05, 2017","16.274","16.315","16.530","16.230","88.65K","-0.18"
"May 04, 2017","16.303","16.485","16.645","16.215","103.60K","-1.47"
"May 03, 2017","16.546","16.855","16.895","16.415","90.35K","-1.69"
"May 02, 2017","16.831","16.880","17.015","16.800","63.43K","-0.07"
"May 01, 2017","16.842","17.240","17.290","16.810","72.47K","-2.62"
"Apr 30, 2017","17.295","17.264","17.311","17.264","0","0.19"
"Apr 28, 2017","17.262","17.280","17.445","17.185","65.78K","-0.42"
"Apr 27, 2017","17.334","17.515","17.540","17.265","96.19K","-0.56"
"Apr 26, 2017","17.431","17.650","17.695","17.355","67.57K","-1.29"
"Apr 25, 2017","17.659","17.990","18.050","17.590","61.72K","-1.52"
"Apr 24, 2017","17.932","18.035","18.035","17.625","46.78K","0.12"
"Apr 23, 2017","17.910","17.850","17.910","17.680","0","-0.15"
"Apr 21, 2017","17.937","18.095","18.095","17.865","42.18K","-0.89"
"Apr 20, 2017","18.098","18.220","18.295","17.920","41.78K","-0.78"
"Apr 19, 2017","18.240","18.375","18.395","18.165","22.21K","-0.60"
"Apr 18, 2017","18.350","18.500","18.510","18.145","36.12K","-1.29"
"Apr 17, 2017","18.590","18.650","18.725","18.450","12.42K","-0.16"
"Apr 16, 2017","18.620","18.580","18.630","18.560","0","0.40"
"Apr 14, 2017","18.545","18.545","18.545","18.545","0","-0.22"
"Apr 13, 2017","18.585","18.570","18.675","18.490","16.26K","1.14"
"Apr 12, 2017","18.375","18.405","18.650","18.325","14.30K","0.25"
"Apr 11, 2017","18.329","18.025","18.420","17.980","13.63K","1.88"
"Apr 10, 2017","17.990","18.005","18.095","17.805","9.37K","-0.01"
"Apr 09, 2017","17.992","17.992","18.023","17.930","0","-1.29"
"Apr 07, 2017","18.227","18.325","18.550","17.945","13.33K","-0.51"
"Apr 06, 2017","18.321","18.385","18.425","18.250","7.45K","0.32"
"Apr 05, 2017","18.262","18.395","18.400","18.225","7.87K","-0.74"
"Apr 04, 2017","18.399","18.375","18.505","18.295","5.34K","0.61"
"Apr 03, 2017","18.288","18.350","18.360","18.170","4.36K","0.28"
"Apr 02, 2017","18.237","18.280","18.280","18.237","0","-0.52"
"Mar 31, 2017","18.332","18.210","18.365","18.135","7.28K","0.28"
"Mar 30, 2017","18.281","18.325","18.385","18.145","2.75K","-0.25"
"Mar 29, 2017","18.327","18.275","18.340","18.140","3.60K","0.00"
"Mar 28, 2017","18.327","18.205","18.335","18.115","9.56K","0.80"
"Mar 27, 2017","18.182","17.900","18.215","17.900","5.03K","1.83"
"Mar 26, 2017","17.855","17.800","17.883","17.800","0","0.19"
"Mar 24, 2017","17.821","17.670","17.855","17.615","1.39K","0.88"
"Mar 23, 2017","17.666","17.610","17.770","17.610","0.89K","0.08"
"Mar 22, 2017","17.651","17.640","17.670","17.545","0.57K","-0.02"
"Mar 21, 2017","17.655","17.525","17.685","17.410","5.82K","0.83"
"Mar 20, 2017","17.509","17.460","17.535","17.445","0.65K","0.46"
"Mar 19, 2017","17.428","17.415","17.430","17.398","0","-0.31"
"Mar 17, 2017","17.483","17.410","17.490","17.340","2.19K","0.48"
"Mar 16, 2017","17.400","17.405","17.605","17.330","8.75K","2.42"
"Mar 15, 2017","16.989","16.970","17.430","16.890","3.42K","0.00"
"Mar 14, 2017","16.989","17.045","17.090","16.940","4.43K","-0.28"
"Mar 13, 2017","17.037","17.115","17.230","17.035","3.51K","0.12"
"Mar 12, 2017","17.017","17.050","17.062","17.000","0","0.17"
"Mar 10, 2017","16.988","17.050","17.150","16.920","2.26K","-0.66"
"Mar 09, 2017","17.101","17.325","17.375","17.035","2.63K","-1.51"
"Mar 08, 2017","17.363","17.585","17.625","17.310","2.21K","-1.35"
"Mar 07, 2017","17.601","17.860","17.860","17.570","1.79K","-1.34"
"Mar 06, 2017","17.840","18.035","18.035","17.820","0.79K","-0.76"
"Mar 05, 2017","17.977","17.980","17.980","17.938","0","0.96"
"Mar 03, 2017","17.806","17.865","18.075","17.735","2.31K","-0.04"
"Mar 02, 2017","17.813","18.500","18.530","17.775","1.62K","-4.00"
"Mar 01, 2017","18.555","18.425","18.575","18.340","1.85K","0.11"
"Feb 28, 2017","18.535","18.400","18.555","18.345","2.14K","0.28"
"Feb 27, 2017","18.483","18.505","18.600","18.345","2.13K","0.52"
"Feb 26, 2017","18.388","18.420","18.430","18.383","0","-0.47"
"Feb 24, 2017","18.474","18.300","18.525","18.285","2.85K","1.22"
"Feb 23, 2017","18.252","18.130","18.335","18.075","1.82K","0.89"
"Feb 22, 2017","18.091","18.130","18.170","18.055","3.83K","-0.29"
"Feb 21, 2017","18.143","18.095","18.205","17.955","1.63K","0.55"
"Feb 20, 2017","18.043","18.002","18.060","17.910","0","0.23"
"Feb 19, 2017","18.002","17.990","18.027","17.980","0","-0.93"
"Feb 17, 2017","18.171","18.205","18.205","18.125","1.08K","-0.24"
"Feb 16, 2017","18.214","18.115","18.260","18.115","1.42K","0.63"
"Feb 15, 2017","18.100","18.060","18.110","17.890","1.94K","0.42"
"Feb 14, 2017","18.024","17.980","18.210","17.915","1.86K","0.40"
"Feb 13, 2017","17.953","18.065","18.105","17.900","1.82K","0.12"
"Feb 12, 2017","17.932","17.913","17.947","17.913","0","-0.73"
"Feb 10, 2017","18.063","17.690","18.135","17.690","1.72K","1.06"
"Feb 09, 2017","17.873","17.890","17.945","17.750","1.55K","0.19"
"Feb 08, 2017","17.839","17.810","18.000","17.810","1.16K","-0.28"
"Feb 07, 2017","17.889","17.880","17.910","17.700","0.96K","0.36"
"Feb 06, 2017","17.825","17.720","17.860","17.675","0.53K","1.93"
"Feb 05, 2017","17.487","17.520","17.545","17.468","0","-0.70"
"Feb 03, 2017","17.611","17.590","17.660","17.450","0.59K","0.28"
"Feb 02, 2017","17.561","17.715","17.850","17.550","2.75K","-0.11"
"Feb 01, 2017","17.580","17.680","17.700","17.535","1.32K","-0.52"
"Jan 31, 2017","17.672","17.290","17.750","17.270","1.50K","2.27"
"Jan 30, 2017","17.279","17.345","17.380","17.210","1.22K","0.35"
"Jan 29, 2017","17.218","17.180","17.233","17.170","0","-0.23"
"Jan 27, 2017","17.258","16.865","17.320","16.800","0.66K","1.70"
"Jan 26, 2017","16.970","17.060","17.070","16.805","0.40K","-0.75"
"Jan 25, 2017","17.099","17.255","17.255","16.915","0.56K","-1.19"
"Jan 24, 2017","17.305","17.345","17.410","17.145","0.51K","-0.01"
"Jan 23, 2017","17.307","17.230","17.385","17.205","0.52K","0.73"
"Jan 22, 2017","17.182","17.127","17.200","17.127","0","0.19"
"Jan 20, 2017","17.150","17.170","17.270","16.985","0.49K","0.18"
"Jan 19, 2017","17.119","17.200","17.235","16.890","0.55K","-1.59"
"Jan 18, 2017","17.396","17.330","17.445","17.200","1.07K","0.72"
"Jan 17, 2017","17.271","17.005","17.315","16.965","0.86K","2.61"
"Jan 16, 2017","16.832","16.898","16.947","16.812","0","-0.39"
"Jan 15, 2017","16.898","16.852","16.938","16.843","0","0.07"
"Jan 13, 2017","16.887","16.910","16.940","16.785","2.52K","-0.38"
"Jan 12, 2017","16.951","16.985","17.120","16.900","2.03K","-0.02"
"Jan 11, 2017","16.955","16.925","17.005","16.705","2.62K","-0.08"
"Jan 10, 2017","16.968","16.700","17.030","16.690","2.64K","1.04"
"Jan 09, 2017","16.793","16.640","16.810","16.595","1.73K","1.43"
"Jan 08, 2017","16.557","16.513","16.557","16.498","0","-0.40"
"Jan 06, 2017","16.624","16.740","16.775","16.550","0.20K","-0.70"
"Jan 05, 2017","16.742","16.675","16.835","16.675","0.25K","0.51"
"Jan 04, 2017","16.657","16.485","16.655","16.485","0.25K","0.88"
"Jan 03, 2017","16.512","16.200","16.640","16.100","0.71K","3.10"
"Jan 02, 2017","16.015","15.985","16.027","15.968","0","-0.48"
"Dec 30, 2016","16.092","16.370","16.430","16.005","0.30K","-1.42"
"Dec 29, 2016","16.324","16.255","16.365","16.160","0.46K","1.15"
"Dec 28, 2016","16.139","16.150","16.160","16.045","0.12K","0.31"
"Dec 27, 2016","16.089","15.925","16.200","15.925","0.15K","1.67"
"Dec 26, 2016","15.825","15.828","15.867","15.817","0","-0.21"
"Dec 23, 2016","15.859","15.975","15.975","15.860","0.31K","-0.71"
"Dec 22, 2016","15.972","16.145","16.145","15.935","0.62K","-0.68"
"Dec 21, 2016","16.082","16.105","16.315","16.100","0.38K","-0.84"
"Dec 20, 2016","16.219","16.030","16.220","15.860","0.77K","0.18"
"Dec 19, 2016","16.190","16.350","16.355","16.135","0.26K","0.17"
"Dec 18, 2016","16.163","16.145","16.172","16.140","0","-0.94"
"Dec 16, 2016","16.317","16.170","16.415","16.115","0.32K","1.59"
"Dec 15, 2016","16.062","17.030","17.030","16.060","0.49K","-7.33"
"Dec 14, 2016","17.332","17.280","17.340","16.965","0.30K","1.43"
"Dec 13, 2016","17.088","17.260","17.295","17.045","0.81K","-1.23"
"Dec 12, 2016","17.301","17.075","17.340","16.900","1.58K","1.96"
"Dec 11, 2016","16.968","16.932","16.973","16.900","0","-0.67"
"Dec 09, 2016","17.083","17.180","17.275","17.010","1.38K","-0.76"
"Dec 08, 2016","17.213","17.295","17.370","17.145","1.19K","-1.03"
"Dec 07, 2016","17.392","16.830","17.420","16.830","1.20K","2.74"
"Dec 06, 2016","16.928","17.025","17.040","16.930","0.49K","-0.55"
"Dec 05, 2016","17.022","17.145","17.145","16.730","0.27K","0.95"
"Dec 04, 2016","16.862","16.793","17.047","16.793","0","-0.58"
"Dec 02, 2016","16.960","16.570","16.885","16.565","0.47K","1.95"
"Dec 01, 2016","16.636","16.640","16.830","16.500","0.40K","0.15"
"Nov 30, 2016","16.611","16.850","16.900","16.595","0.10K","-1.55"
"Nov 29, 2016","16.872","16.870","16.875","16.610","0.15K","0.39"
"Nov 28, 2016","16.806","16.895","17.000","16.760","0.32K","0.75"
"Nov 25, 2016","16.681","16.450","16.760","16.415","0.82K","2.07"
"Nov 24, 2016","16.343","16.348","16.390","16.218","0","-1.62"
"Nov 23, 2016","16.612","16.885","16.885","16.445","0.23K","-1.48"
"Nov 22, 2016","16.862","16.900","17.080","16.775","0.13K","0.68"
"Nov 21, 2016","16.748","16.860","16.890","16.740","0.10K","1.18"
"Nov 20, 2016","16.553","16.600","16.600","16.527","0","-1.75"
"Nov 18, 2016","16.848","16.800","16.925","16.680","0.03K","-0.91"
"Nov 17, 2016","17.003","17.180","17.220","16.925","0.25K","-0.87"
"Nov 16, 2016","17.153","17.240","17.240","17.225","0.04K","-0.31"
"Nov 15, 2016","17.206","17.220","17.235","17.075","0.66K","0.56"
"Nov 14, 2016","17.110","17.420","17.565","16.920","0.49K","-1.99"
"Nov 13, 2016","17.457","17.332","17.487","17.332","0","-0.83"
"Nov 11, 2016","17.603","18.850","18.850","17.500","0.86K","-7.25"
"Nov 10, 2016","18.980","19.090","19.090","18.735","0.90K","1.88"
"Nov 09, 2016","18.629","18.655","19.100","18.640","0.64K","0.09"
"Nov 08, 2016","18.612","18.585","18.785","18.565","0.72K","1.10"
"Nov 07, 2016","18.410","18.470","18.470","18.275","0.67K","1.29"
"Nov 06, 2016","18.175","18.260","18.260","18.130","0","-2.46"
"Nov 04, 2016","18.633","18.630","18.690","18.555","0.27K","-0.20"
"Nov 03, 2016","18.671","18.745","18.745","18.280","0.19K","-1.45"
"Nov 02, 2016","18.945","18.640","18.750","18.640","0.24K","1.51"
"Nov 01, 2016","18.663","18.125","18.690","18.125","0.43K","3.52"
"Oct 31, 2016","18.028","18.015","18.155","18.015","0.10K","1.05"
"Oct 30, 2016","17.840","17.800","17.865","17.800","0","-1.03"
"Oct 28, 2016","18.026","17.795","18.005","17.795","0.27K","0.90"
"Oct 27, 2016","17.865","17.845","17.855","17.795","0.35K","0.36"
"Oct 26, 2016","17.801","18.005","18.010","17.775","0.77K","-1.22"
"Oct 25, 2016","18.021","17.935","17.955","17.935","0.26K","0.96"
