"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-01-01","2018","01","01","","4.4","","0.0","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-01-02","2018","01","02","","4.3","","0.0","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-01-03","2018","01","03","","3.8","","1.6","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-01-04","2018","01","04","","7.0","","2.0","","4.5","","13.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-01-05","2018","01","05","","9.9","","6.1","","8.0","","10.0","","0.0","","","M","","M","30.4","","","","","M","","M"
"2018-01-06","2018","01","06","","8.9","","6.3","","7.6","","10.4","","0.0","","","M","","M","3.0","","","","","M","","M"
"2018-01-07","2018","01","07","","6.9","","5.3","","6.1","","11.9","","0.0","","","M","","M","14.0","","","","","M","","M"
"2018-01-08","2018","01","08","","7.5","","6.1","","6.8","","11.2","","0.0","","","M","","M","16.5","","","","","M","","M"
"2018-01-09","2018","01","09","","8.4","","6.4","","7.4","","10.6","","0.0","","","M","","M","4.4","","","","","M","","M"
"2018-01-10","2018","01","10","","7.7","","5.1","","6.4","","11.6","","0.0","","","M","","M","0.2","","","","","M","","M"
"2018-01-11","2018","01","11","","6.2","","4.2","","5.2","","12.8","","0.0","","","M","","M","15.0","","","","","M","","M"
"2018-01-12","2018","01","12","","5.8","","3.6","","4.7","","13.3","","0.0","","","M","","M","19.9","","","","","M","","M"
"2018-01-13","2018","01","13","","9.1","","5.8","","7.5","","10.5","","0.0","","","M","","M","5.8","","","","","M","","M"
"2018-01-14","2018","01","14","","6.6","","4.1","","5.4","","12.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-01-15","2018","01","15","","11.2","","3.8","","7.5","","10.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-01-16","2018","01","16","","11.2","","8.0","","9.6","","8.4","","0.0","","","M","","M","3.1","","","","","M","","M"
"2018-01-17","2018","01","17","","11.3","","7.7","","9.5","","8.5","","0.0","","","M","","M","9.8","","","","","M","","M"
"2018-01-18","2018","01","18","","10.2","","6.7","","8.5","","9.5","","0.0","","","M","","M","2.4","","","","","M","","M"
"2018-01-19","2018","01","19","","7.3","","5.6","","6.5","","11.5","","0.0","","","M","","M","51.4","","","","","M","","M"
"2018-01-20","2018","01","20","","7.0","","4.6","","5.8","","12.2","","0.0","","","M","","M","18.0","","","","","M","","M"
"2018-01-21","2018","01","21","","10.6","","6.5","","8.6","","9.4","","0.0","","","M","","M","3.7","","","","","M","","M"
"2018-01-22","2018","01","22","","9.9","","5.5","","7.7","","10.3","","0.0","","","M","","M","3.1","","","","","M","","M"
"2018-01-23","2018","01","23","","7.5","","5.0","","6.3","","11.7","","0.0","","","M","","M","8.5","","","","","M","","M"
"2018-01-24","2018","01","24","","7.8","","5.9","","6.9","","11.1","","0.0","","","M","","M","19.9","","","","","M","","M"
"2018-01-25","2018","01","25","","7.2","","2.8","","5.0","","13.0","","0.0","","","M","","M","5.9","","","","","M","","M"
"2018-01-26","2018","01","26","","8.2","","3.6","","5.9","","12.1","","0.0","","","M","","M","7.6","","","","","M","","M"
"2018-01-27","2018","01","27","","6.0","","4.0","","5.0","","13.0","","0.0","","","M","","M","12.5","","","","","M","","M"
"2018-01-28","2018","01","28","","8.4","","4.8","","6.6","","11.4","","0.0","","","M","","M","18.1","","","","","M","","M"
"2018-01-29","2018","01","29","","10.4","","5.4","","7.9","","10.1","","0.0","","","M","","M","51.0","","","","","M","","M"
"2018-01-30","2018","01","30","","9.1","","4.7","","6.9","","11.1","","0.0","","","M","","M","0.4","","","","","M","","M"
"2018-01-31","2018","01","31","","5.5","","3.3","","4.4","","13.6","","0.0","","","M","","M","12.4","","","","","M","","M"
"2018-02-01","2018","02","01","","6.2","","3.8","","5.0","","13.0","","0.0","","","M","","M","7.9","","","","","M","","M"
"2018-02-02","2018","02","02","","8.4","","5.1","","6.8","","11.2","","0.0","","","M","","M","13.7","","","","","M","","M"
"2018-02-03","2018","02","03","","10.2","","7.2","","8.7","","9.3","","0.0","","","M","","M","6.2","","","","","M","","M"
"2018-02-04","2018","02","04","","9.9","","7.3","","8.6","","9.4","","0.0","","","M","","M","14.7","","","","","M","","M"
"2018-02-05","2018","02","05","","9.1","","6.9","","8.0","","10.0","","0.0","","","M","","M","0.2","","","","","M","","M"
"2018-02-06","2018","02","06","","8.0","","5.9","","7.0","","11.0","","0.0","","","M","","M","3.7","","","","","M","","M"
"2018-02-07","2018","02","07","","8.9","","6.8","","7.9","","10.1","","0.0","","","M","","M","13.4","","","","","M","","M"
"2018-02-08","2018","02","08","","10.7","","4.3","","7.5","","10.5","","0.0","","","M","","M","1.0","","","","","M","","M"
"2018-02-09","2018","02","09","","6.0","","3.3","","4.7","","13.3","","0.0","","","M","","M","0.2","","","","","M","","M"
"2018-02-10","2018","02","10","","5.6","","1.1","","3.4","","14.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-11","2018","02","11","","8.1","","2.3","","5.2","","12.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-12","2018","02","12","","5.7","","0.1","","2.9","","15.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-13","2018","02","13","","6.3","","0.5","","3.4","","14.6","","0.0","","","M","","M","1.2","","","","","M","","M"
"2018-02-14","2018","02","14","","6.2","","1.2","","3.7","","14.3","","0.0","","","M","","M","7.2","","","","","M","","M"
"2018-02-15","2018","02","15","","6.1","","0.3","","3.2","","14.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-16","2018","02","16","","8.6","","2.3","","5.5","","12.5","","0.0","","","M","","M","6.4","","","","","M","","M"
"2018-02-17","2018","02","17","","7.9","","1.9","","4.9","","13.1","","0.0","","","M","","M","16.4","","","","","M","","M"
"2018-02-18","2018","02","18","","4.6","","-2.4","","1.1","","16.9","","0.0","","","M","","M","9.7","","","","","M","","M"
"2018-02-19","2018","02","19","","2.2","","-4.1","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-20","2018","02","20","","4.1","","-1.9","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-21","2018","02","21","","0.4","","-2.6","","-1.1","","19.1","","0.0","","","M","","M","0.9","","","","","M","","M"
"2018-02-22","2018","02","22","","3.5","","-4.1","","-0.3","","18.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-23","2018","02","23","","0.9","","-1.0","","-0.1","","18.1","","0.0","","","M","","M","5.8","","","","","M","","M"
"2018-02-24","2018","02","24","","6.3","","-0.1","","3.1","","14.9","","0.0","","","M","","M","10.1","","","","","M","","M"
"2018-02-25","2018","02","25","","6.7","","1.6","","4.2","","13.8","","0.0","","","M","","M","0.3","","","","","M","","M"
"2018-02-26","2018","02","26","","6.3","","-0.3","","3.0","","15.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-02-27","2018","02","27","","7.0","","3.2","","5.1","","12.9","","0.0","","","M","","M","3.9","","","","","M","","M"
"2018-02-28","2018","02","28","","6.1","","3.7","","4.9","","13.1","","0.0","","","M","","M","7.8","","","","","M","","M"
